"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,763200,"Bower","IN","Elkhart-Goshen","Elkhart County","Elkhart",6617,107000,0,0.0298363811357074,0.09072375127421,0.0854881476507621,0.0253541124915313,"2019-09","2019-Q3",107000,0,"2019-09"
2019-09-30,274226,"Lake Davis-Greenwood","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",6618,312500,-0.00318979266347687,-0.0110759493670886,-0.041704998466728,0.0787674836609658,0.0506854364354856,"2019-02","2019-Q1",332700,-0.0607153591824467,"2018-03"
2019-09-30,13811,"Shelter Cove","CA","Eureka-Arcata-Fortuna","Humboldt County","Whitethorn",6619,286000,-0.0144727773949001,-0.0809768637532134,-0.121621621621622,0.0170636537595921,0.00251701399297932,"2007-09","2007-Q3",407100,-0.29746990911324,"2006-10"
2019-09-30,761998,"Shawnee Village","KS","Kansas City","Johnson County","Shawnee",6620,160300,-0.00496585971446307,-0.0195718654434251,-0.00372902423865755,0.0722453795601457,0.029207412660601,"2019-03","2019-Q1",164000,-0.0225609756097561,"2018-09"
2019-09-30,184853,"West Highlands","NC","Winston-Salem","Forsyth County","Winston-Salem",6621,371400,0.0108873162765378,0.0420875420875421,0.0939617083946981,0.0457944684206455,0.0290198906159287,"2019-09","2019-Q3",371400,0,"2019-09"
2019-09-30,269882,"Patterson Place","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",6622,183800,-0.015005359056806,-0.0554984583761562,-0.112934362934363,0.0294130665698131,0.0310332811238663,"2018-06","2018-Q2",211700,-0.131790269248937,"2016-10"
2019-09-30,761062,"Morrison Ranch","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Agoura Hills",6623,1346400,0.00672947510094213,0.0255160332089268,0.0415409607797633,0.0551591948444459,0.0450101531475033,"2019-09","2019-Q3",1346400,0,"2019-09"
2019-09-30,761197,"College Heights","MI","Ann Arbor","Washtenaw County","Ypsilanti",6624,218700,-0.00228102189781022,-0.0170786516853933,0.0325779036827195,0.0730871223157052,0.0660174096461195,"2019-05","2019-Q2",223500,-0.0214765100671141,"2019-01"
2019-09-30,761016,"Karsten's Park-City Line","IL","Davenport-Moline-Rock Island","Rock Island County","Moline",6625,104900,0.00671785028790787,0.0294406280667321,0.049,0.0274862124359811,0.0123315011792069,"2019-02","2019-Q1",105700,-0.0075685903500473,"2018-12"
2019-09-30,753833,"Dearnley Park","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",6626,252700,0.00999200639488409,0.0331152902698283,0.0251521298174442,0.0498908560398879,0.0115431303387483,"2019-02","2019-Q1",260400,-0.0295698924731183,"2018-11"
2019-09-30,762089,"Pabst Park","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Wauwatosa",6627,253000,-0.00275916436736303,-0.00550314465408805,0.0793515358361775,0.0468838713286699,0.0263809693831176,"2019-05","2019-Q2",254600,-0.00628436763550668,"2019-04"
2019-09-30,274659,"Nevius","AL","Mobile","Mobile County","Mobile",6628,96300,0.0104931794333683,0.0478781284004353,0.0524590163934426,0.0495929340284504,0.00623118034179582,"2007-07","2007-Q3",97300,-0.0102774922918808,"2007-06"
2019-09-30,762839,"The Grove","CA","Riverside-San Bernardino-Ontario","Riverside County","Cathedral City",6629,401000,-0.00024931438544004,0.0195779303330791,0.0879001627780792,0.0408811871420456,,"2019-08","2019-Q3",401100,-0.00024931438544004,"2019-08"
2019-09-30,272854,"Barclay Drive","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",6630,315100,0.00127105179536066,-0.0119159611163374,-0.0137715179968701,0.106818002728561,0.0757656260745896,"2019-02","2019-Q1",348400,-0.0955797933409874,"2018-08"
2019-09-30,259175,"Evergreen","IN","Elkhart-Goshen","Elkhart County","Elkhart",6631,161800,0.00247831474597274,0.0208201892744479,0.0499675535366645,0.0673506893173539,0.0308546138188108,"2019-09","2019-Q3",161800,0,"2019-09"
2019-09-30,416149,"Bowling Woodlawn","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",6632,751800,0.00226636448473537,-0.00686922060766182,0.0444567935537649,0.047260447002452,0.0331282806036819,"2019-05","2019-Q2",758800,-0.00922509225092251,"2019-04"
2019-09-30,274715,"North Highlands","IN","Fort Wayne","Allen County","Fort Wayne",6633,96100,0.00945378151260504,0.0223404255319149,0.14268727705113,0.0606255211865605,0.0301548643352201,"2019-09","2019-Q3",96100,0,"2019-09"
2019-09-30,762485,"Meridian International Business Center","CO","Denver-Aurora-Lakewood","Douglas County","Parker",6634,561900,0.00106894708711919,0.00464866797782943,0.0330943188086045,0.0487942169216069,0.0525784931792674,"2019-09","2019-Q3",561900,0,"2019-09"
